rank,name,city,country,category,lat,lng,place_id,formatted_address
85,9 Gramos Café,,Colombia,South America,4.8042492,-75.68796619999999,ChIJRQpGtD-HOI4RwGRAj0JJ9SA,"Cra. 17 #10-07, Pereira, Risaralda, Colombia"
85,The Dude Specialty Coffee,"a restored house, where each room has a unique atmosphere",Macedonia,Top 100,41.9978065,21.4198181,ChIJETlcOUkUVBMRtcm2yJn0VBE,"Apostle Guslarot 16, Skopje 1000, North Macedonia"
86,MANVA Natural Market,"Chacao, Caracas (Venezuela)",Venezuela,South America,10.495994,-66.8526217,ChIJR6BxVahZKowR1AIBJiVbp8k,"planta baja, Calle Miranda edificio Elvira, Local 5 Chacao, Caracas 1060, Miranda, Venezuela"
86,Story and Soil Coffee,"Hartford, Connecticut",USA,Top 100,41.7637176,-72.6885137,ChIJzw6G3UJT5okRsVg-WQhzdG8,"387 Capitol Ave, Hartford, CT 06106, USA"
87,Rita Specialty Coffee Armenia,,Argentina,South America,-34.5901672,-58.42827149999999,ChIJ-fRY5Ie1vJURrA3jarr_dhg,"Armenia 1595, C1414DKG Cdad. Autónoma de Buenos Aires, Argentina"
87,Exploradores,,Mexico,Top 100,19.3554536,-99.275689,ChIJ635zgLUA0oURwUDZfOwFplg,"Av. Santa Fe 601, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 05310 Cuajimalps, CDMX, Mexico"
88,Café Black Mamba,,Chile,South America,-33.4333121,-70.6183506,ElZFbGlvZG9ybyBZw6HDsWV6IDEyMjgsIGxvY2FsIDEwNCwgUiwgNzUwMDYwNSBQcm92aWRlbmNpYSwgUmVnacOzbiBNZXRyb3BvbGl0YW5hLCBDaGlsZSIoGiYKFgoUChIJ-9_jTXzPYpYRMMoeNK0T17kSDGxvY2FsIDEwNCwgUg,"Eliodoro Yáñez 1228, local 104, R, 7500605 Providencia, Región Metropolitana, Chile"
88,The Folks,Lisbon,Portugal,Top 100,38.7110619,-9.1383587,ChIJi7Bh4Xg0GQ0RdvZDEXy8w_E,"R. dos Sapateiros 111, 1100-051 Lisboa, Portugal"
89,Kaffe&#8217;i,"the heart of the historic district of Asunción, this specialty coffee […]",Paraguay,South America,-25.2814154,-57.63593820000001,ChIJoT4qr_OnXZQRL4gOCwTTzAc,"Palma 438, Asunción 001013, Paraguay"
89,"Casa Barista &#038; Co.,Casco Historico",,Dominican Republic,Top 100,18.474361,-69.88477809999999,ChIJo71akESJr44RaP_SBr6uIuw,"C. Arzobispo Meriño 268, Santo Domingo 10210, Dominican Republic"
